Life expectancy,Alcohol,Hepatitis B,Measles,BMI,Polio,Diphtheria,HIV/AIDS,GDP,Schooling,thinness  1-19 years
79.9,9.84,95.0,32,59.6,92.0,92.0,0.1,281.81763,20.1,0.7
79.9,9.53,94.0,141,59.0,91.0,92.0,0.1,19517.84168,20.5,0.7
81.4,12.32,98.0,117,57.1,98.0,98.0,0.1,51322.63997,15.9,1.8
81.1,11.82,95.0,0,56.6,95.0,95.0,0.1,554.71532,15.7,1.8
88.0,12.26,92.0,36,56.1,92.0,92.0,0.1,48333.57273,15.7,1.8
88.0,12.04,89.0,68,55.7,89.0,89.0,0.1,51126.74139,15.7,1.7
84.0,12.1,86.0,52,55.2,86.0,86.0,0.1,46657.629,15.4,1.7
82.0,11.3,83.0,49,54.7,83.0,83.0,0.1,47654.18721,15.3,1.7
84.0,12.0,83.0,448,54.2,83.0,83.0,0.1,51386.37665,15.1,1.7
81.0,12.5,85.0,20,53.7,85.0,85.0,0.1,46586.6525,15.2,1.7
79.8,12.4,83.0,23,53.2,83.0,83.0,0.1,443.99361,15.0,1.7
79.4,12.4,86.0,9,52.7,86.0,86.0,0.1,38242.4252,14.9,1.7
79.3,12.1,83.0,15,52.2,83.0,83.0,0.1,36693.4262,14.7,1.7
78.8,12.2,83.0,90,51.7,84.0,84.0,0.1,3212.9355,14.7,1.7
78.7,12.5,81.0,0,51.2,82.0,83.0,0.1,26351.37568,16.1,1.7
78.6,12.4,44.0,0,5.6,83.0,84.0,0.1,24489.73553,15.5,1.7
78.1,13.2,33.0,0,5.1,71.0,81.0,0.1,24517.26745,15.4,1.7
72.5,0.01,94.0,0,51.5,97.0,94.0,0.1,7891.299776,12.2,2.8
72.2,2.14,93.0,164,5.6,96.0,93.0,0.1,7875.756953,11.9,2.8
71.9,0.01,88.0,0,49.7,92.0,89.0,0.1,7496.335728,11.8,2.8
71.6,1.98,84.0,0,48.8,91.0,87.0,0.1,7189.691229,11.7,2.8
71.1,1.98,8.0,0,48.0,85.0,81.0,0.1,5842.85784,11.7,2.8
78.0,2.1,74.0,0,47.3,84.0,81.0,0.1,495.294791,11.6,2.8
73.0,1.18,68.0,5,46.6,85.0,81.0,0.1,5574.6382,11.6,2.8
73.0,1.02,62.0,0,45.9,81.0,79.0,0.1,3851.437869,11.6,2.8
69.2,0.85,52.0,222,45.3,8.0,78.0,0.1,2473.85776,10.7,2.9
68.4,0.73,49.0,1238,44.7,79.0,75.0,0.1,1578.4239,11.2,2.9
68.4,0.62,5.0,827,44.2,78.0,77.0,0.1,145.2163,11.0,3.0
67.8,0.55,51.0,1978,43.6,79.0,77.0,0.1,883.6439965,10.8,3.0
67.8,0.55,5.0,4353,43.1,8.0,76.0,0.1,763.73858,10.6,3.1
76.8,1.57,98.0,46,62.9,98.0,98.0,0.1,24983.3792,14.5,6.1
76.7,1.65,99.0,0,62.2,99.0,99.0,0.1,251.18329,14.5,6.1
76.5,1.7,99.0,0,61.5,99.0,99.0,0.1,23649.36661,14.5,6.1
76.1,1.66,99.0,0,6.8,99.0,99.0,0.1,2281.1242,14.4,6.1
76.1,1.93,99.0,0,6.1,99.0,99.0,0.1,2722.1389,14.4,6.0
76.0,1.95,98.0,3,59.3,97.0,98.0,0.1,19356.67236,14.4,6.0
75.8,2.0,97.0,2,58.5,97.0,97.0,0.1,2367.56535,14.4,6.0
75.6,2.0,97.0,7,57.6,97.0,97.0,0.1,2977.1153,14.4,6.1
75.5,2.1,98.0,3,56.8,98.0,98.0,0.1,1937.99549,14.2,6.1
75.3,2.05,98.0,4,56.1,98.0,98.0,0.1,17959.17854,14.0,6.1
75.2,2.16,98.0,11,55.6,98.0,98.0,0.1,15846.47641,13.9,6.1
75.0,2.16,98.0,12,55.2,97.0,97.0,0.1,14221.99259,13.7,6.1
74.9,1.99,98.0,8,55.0,98.0,98.0,0.1,1312.33457,13.5,6.2
74.7,1.95,99.0,5,54.8,99.0,99.0,0.1,12868.211,13.3,6.2
74.5,2.15,97.0,6,54.5,97.0,97.0,0.1,13636.34668,13.2,6.2
71.4,0.01,97.0,289,17.7,97.0,97.0,0.1,184.56543,10.0,18.1
71.0,0.01,96.0,237,17.0,96.0,96.0,0.1,951.8894535,10.0,18.3
77.0,0.01,94.0,1986,16.4,94.0,94.0,0.1,856.342857,9.9,18.5
73.0,0.01,96.0,5625,15.8,96.0,96.0,0.1,835.789341,9.4,18.7
69.9,0.01,94.0,788,15.2,94.0,94.0,0.1,757.6717572,8.9,18.9
69.5,0.01,97.0,718,14.6,97.0,97.0,0.1,681.125368,8.4,19.1
69.1,0.01,96.0,2660,14.0,96.0,96.0,0.1,615.7775411,8.6,19.3
68.6,0.01,95.0,2924,13.5,96.0,94.0,0.1,541.651484,8.6,19.5
68.2,0.01,86.0,6192,13.0,95.0,94.0,0.1,494.51466,8.4,19.7
67.8,0.01,45.0,25934,12.5,94.0,93.0,0.1,484.155471,8.2,19.9
67.3,0.01,11.0,9743,12.0,88.0,99.0,0.1,46.7579167,8.1,2.1
66.8,0.01,5.0,4067,11.6,9.0,87.0,0.1,432.7388972,7.9,2.3
75.4,8.82,94.0,0,53.7,95.0,94.0,0.1,15359.66971,15.3,3.8
75.2,8.74,91.0,0,53.0,91.0,91.0,0.1,15472.7814,15.3,3.8
75.1,8.61,87.0,0,52.2,88.0,87.0,0.1,15384.8749,15.3,3.8
74.9,8.51,91.0,0,51.4,91.0,91.0,0.1,15534.1574,15.5,3.8
74.7,8.41,86.0,0,5.7,9.0,86.0,0.1,1595.91232,15.8,3.8
74.6,8.46,93.0,0,49.9,93.0,93.0,0.1,16523.32388,15.5,3.8
74.4,8.95,85.0,0,49.2,85.0,85.0,0.1,1657.3228,15.3,3.9
74.2,8.47,93.0,0,48.4,93.0,93.0,0.1,16462.48556,15.0,3.9
74.1,8.39,84.0,0,47.7,85.0,84.0,0.1,15646.5591,14.8,4.0
73.9,8.01,92.0,0,46.9,91.0,92.0,0.1,14223.86576,14.6,4.0
73.8,7.68,93.0,0,46.2,93.0,93.0,0.2,12868.8639,14.4,4.1
73.7,7.65,91.0,0,45.4,9.0,89.0,0.4,1228.5447,14.2,4.1
73.5,7.59,66.0,0,44.6,86.0,87.0,0.8,11675.39395,14.0,4.2
73.4,7.38,18.0,0,43.8,93.0,84.0,0.7,11513.87189,14.0,4.2
72.0,13.94,97.0,64,61.7,97.0,97.0,0.1,8318.429294,15.7,1.9
71.7,14.66,98.0,16,61.1,98.0,98.0,0.1,7978.825443,15.7,2.0
71.9,16.35,97.0,10,6.5,98.0,98.0,0.1,694.243915,15.6,2.0
72.0,17.31,98.0,50,59.9,98.0,98.0,0.1,6519.71753,15.5,2.0
73.0,14.44,96.0,1,59.3,99.0,98.0,0.1,63.38877,15.5,2.0
70.0,14.09,98.0,0,58.7,98.0,96.0,0.1,5176.172649,15.4,2.1
70.0,14.67,98.0,0,58.2,98.0,97.0,0.1,6376.183153,15.1,2.1
69.8,14.22,91.0,1,57.7,9.0,95.0,0.1,4735.484827,14.9,2.2
68.9,12.6,98.0,149,57.2,97.0,99.0,0.1,3848.215966,14.6,2.2
68.1,11.01,99.0,1,56.7,98.0,99.0,0.1,3126.71767,14.4,2.3
68.2,12.05,99.0,2,56.2,99.0,99.0,0.1,2378.33927,14.1,2.4
67.7,11.17,56.0,21,55.8,53.0,5.0,0.1,1819.525644,13.9,2.5
67.2,12.23,99.0,14,55.3,99.0,99.0,0.1,1479.383142,13.6,2.5
67.7,10.74,93.0,45,54.9,99.0,99.0,0.1,1244.373185,13.3,2.6
68.0,12.98,7.0,21,54.4,99.0,99.0,0.1,1276.28834,13.1,2.7
89.0,12.6,98.0,70,63.4,99.0,99.0,0.1,47439.39684,16.3,1.0
87.0,11.77,98.0,39,63.0,99.0,99.0,0.1,4651.38647,16.3,1.0
83.0,10.08,98.0,109,62.6,99.0,99.0,0.1,4474.5717,16.2,0.9
83.0,10.11,97.0,576,62.3,98.0,98.0,0.1,4772.77415,16.1,0.9
80.0,10.22,97.0,40,61.9,98.0,98.0,0.1,4438.23741,15.9,0.9
79.8,10.05,97.0,33,61.6,98.0,98.0,0.1,4488.5615,15.8,0.9
79.5,10.47,98.0,98,61.3,99.0,99.0,0.1,48424.58927,15.8,0.8
79.5,10.25,94.0,64,6.9,99.0,98.0,0.1,4443.83131,15.8,0.8
79.4,10.98,94.0,15,6.6,99.0,98.0,0.1,38852.3613,15.7,0.8
78.9,12.27,77.0,26,6.2,97.0,97.0,0.1,36967.28292,15.7,0.8
78.8,12.05,64.0,61,59.8,96.0,95.0,0.1,35589.71295,18.8,0.8
78.3,11.28,64.0,44,59.4,96.0,95.0,0.1,3743.95693,18.6,0.8
78.0,11.29,6.0,0,59.0,96.0,95.0,0.1,2552.3328,18.8,0.8
78.0,11.01,6.0,83,58.5,96.0,95.0,0.1,23121.56635,18.2,0.8
77.6,11.21,6.0,0,58.1,96.0,95.0,0.1,2327.4591,18.0,0.8
70.0,6.58,95.0,0,5.1,95.0,95.0,0.2,4852.223666,12.8,3.4
69.8,6.56,95.0,0,49.3,95.0,95.0,0.2,4688.538443,12.9,3.4
69.4,6.66,98.0,0,48.5,98.0,98.0,0.1,4673.63848,12.5,3.5
69.4,6.64,95.0,0,47.8,95.0,95.0,0.5,4516.24675,12.4,3.5
69.5,6.76,96.0,0,47.0,96.0,96.0,0.2,4344.15177,12.4,3.5
69.5,6.85,97.0,0,46.3,98.0,97.0,0.3,4258.788611,12.7,3.5
69.6,7.22,94.0,0,45.7,94.0,94.0,0.1,447.22796,12.8,3.5
69.6,7.24,96.0,0,45.0,97.0,96.0,0.6,4324.876427,12.8,3.5
69.4,6.48,98.0,0,44.4,98.0,98.0,0.6,4187.3783,12.3,3.6
69.0,6.25,96.0,0,43.8,96.0,96.0,0.8,3933.332215,12.8,3.6
68.7,6.2,97.0,0,43.2,97.0,97.0,0.8,3831.53819,12.5,3.6
68.4,5.67,96.0,0,42.6,95.0,96.0,1.5,3679.99523,12.2,3.6
68.5,4.99,97.0,0,42.0,93.0,89.0,0.1,3556.561825,11.9,3.7
68.2,4.9,96.0,0,41.4,96.0,96.0,0.4,3419.275719,11.8,3.7
68.3,4.79,76.0,0,4.8,91.0,91.0,0.3,3364.423711,11.7,3.8
59.7,0.01,78.0,786,25.2,74.0,78.0,1.1,943.686575,10.7,7.1
59.5,0.01,77.0,637,24.6,73.0,77.0,1.2,915.2674586,10.3,7.2
59.3,0.01,8.0,288,24.1,8.0,8.0,1.3,837.9551,10.0,7.4
59.1,1.4,75.0,426,23.5,77.0,75.0,1.4,825.9427854,9.8,7.6
58.7,1.33,76.0,392,23.0,77.0,76.0,1.4,757.695974,9.5,7.8
58.4,1.16,79.0,1461,22.5,8.0,79.0,1.6,793.45243,9.3,7.9
57.6,1.28,75.0,928,22.0,77.0,75.0,1.8,82.1513498,9.1,8.1
57.1,1.12,82.0,341,21.5,82.0,82.0,2.0,76.535419,8.9,8.3
56.8,1.19,74.0,176,21.0,76.0,74.0,2.0,625.8392,8.7,8.5
56.5,1.13,7.0,210,2.5,73.0,7.0,2.1,61.799977,8.5,8.7
56.1,1.15,75.0,262,2.1,74.0,72.0,2.1,583.493514,8.1,8.9
55.8,1.35,73.0,217,19.7,75.0,73.0,2.1,519.2922847,7.7,9.1
55.6,1.23,15.0,1588,19.2,76.0,75.0,2.1,418.6985763,7.3,9.3
69.4,0.01,99.0,0,23.6,98.0,99.0,0.5,2522.7968,12.5,15.7
69.1,0.01,97.0,0,22.7,97.0,97.0,0.6,235.882889,12.6,15.9
68.7,0.01,97.0,1,21.9,97.0,97.0,0.6,2422.816,12.3,16.1
68.3,0.23,95.0,10,21.1,95.0,95.0,0.5,2458.45976,11.9,16.3
67.9,0.28,91.0,21,2.3,92.0,91.0,0.5,2178.921383,11.4,16.6
67.4,0.17,93.0,6,19.5,93.0,93.0,0.4,177.234497,10.9,16.8
67.0,0.21,96.0,7,18.8,96.0,96.0,0.4,1795.18137,10.5,17.1
66.5,0.16,95.0,11,18.0,93.0,95.0,0.3,1741.142552,10.1,17.3
65.8,0.29,95.0,2,17.4,96.0,95.0,0.3,1335.45696,9.6,17.5
65.0,0.73,95.0,11,16.7,95.0,95.0,0.3,1247.61392,9.2,17.8
64.2,0.96,89.0,3,16.1,9.0,89.0,0.3,197.45788,8.8,18.0
63.3,0.52,95.0,0,15.5,96.0,95.0,0.2,997.7417141,8.4,18.3
62.5,0.29,83.0,27,14.9,89.0,86.0,0.1,885.6382245,8.0,18.6
61.7,0.14,89.0,756,14.4,88.0,88.0,0.1,87.9387673,7.6,18.9
62.0,0.17,98.0,418,13.9,98.0,92.0,0.1,765.8632358,7.3,19.2
77.2,4.03,89.0,3000,55.3,86.0,86.0,0.1,5193.94932,14.2,2.4
77.0,4.12,91.0,0,54.7,87.0,89.0,0.1,535.86555,14.2,2.4
76.8,4.61,92.0,22,54.2,87.0,92.0,0.1,4716.673325,13.9,2.5
76.9,4.64,88.0,10,53.7,89.0,88.0,0.1,55.156834,13.4,2.6
76.4,4.54,89.0,45,53.1,9.0,89.0,0.1,4611.47298,13.3,2.6
76.1,4.75,9.0,22,52.6,9.0,9.0,0.1,4697.89732,13.3,2.7
76.0,5.13,88.0,8,52.1,92.0,91.0,0.1,575.31664,13.1,2.8
75.4,5.16,94.0,166,51.5,95.0,95.0,0.1,418.292176,12.9,2.8
75.7,4.82,9.0,17,51.0,91.0,87.0,0.1,344.321698,12.7,2.9
75.0,4.56,93.0,23,5.5,95.0,93.0,0.1,2968.41186,12.5,2.9
75.5,4.25,36.0,28,49.9,87.0,84.0,0.1,265.642661,12.3,3.0
65.1,0.01,95.0,1,37.3,96.0,95.0,2.3,7497.762376,12.6,6.7
64.2,0.01,95.0,1,36.8,96.0,95.0,2.8,77.625783,12.6,7.0
63.4,0.01,95.0,7,36.2,96.0,95.0,4.4,729.231453,12.5,7.3
62.2,5.76,95.0,8,35.7,96.0,95.0,5.5,7645.21469,12.4,7.7
61.1,5.99,95.0,853,35.2,96.0,95.0,6.2,6346.15624,12.3,8.0
59.2,5.01,94.0,184,34.7,96.0,96.0,9.0,5185.729845,12.2,8.4
57.5,6.56,94.0,0,34.2,96.0,96.0,12.7,5623.379566,12.1,8.8
56.9,6.21,93.0,1,33.7,96.0,96.0,13.4,5714.47937,12.1,9.2
54.8,6.45,93.0,6,33.2,96.0,96.0,14.4,5374.554867,11.9,9.6
51.7,6.37,92.0,5,32.7,96.0,96.0,20.6,5351.253732,11.9,1.0
48.1,4.9,91.0,1,32.2,96.0,96.0,28.4,4896.583835,11.8,1.5
46.4,5.51,9.0,59,31.6,96.0,96.0,31.9,4163.6596,11.8,1.9
46.0,6.41,88.0,7,31.1,97.0,97.0,34.6,355.618382,11.9,11.4
46.7,5.48,87.0,1,3.5,97.0,97.0,37.2,3128.97793,11.8,11.8
47.8,5.37,86.0,2672,29.9,97.0,97.0,38.8,3349.68823,11.7,12.3
74.8,7.32,96.0,876,55.3,96.0,93.0,0.1,1226.61731,15.2,2.7
74.7,7.24,96.0,220,54.5,96.0,97.0,0.1,12216.9446,14.2,2.8
74.5,7.55,96.0,2,53.6,96.0,95.0,0.1,12291.46685,14.2,2.8
74.1,7.58,98.0,43,52.8,98.0,99.0,0.1,13167.47289,14.0,2.9
73.8,7.52,96.0,68,52.0,99.0,99.0,0.1,11224.1548,13.8,2.9
73.6,7.33,99.0,0,51.1,99.0,99.0,0.1,8553.3847,13.8,3.0
73.4,7.21,96.0,0,5.3,99.0,99.0,0.1,8787.61375,13.3,3.0
73.3,7.19,99.0,0,49.4,99.0,99.0,0.1,7313.557962,13.5,3.1
73.0,7.1,99.0,57,48.6,99.0,99.0,0.1,586.145975,13.8,3.1
72.7,6.97,98.0,6,47.8,99.0,99.0,0.1,477.182746,13.8,3.2
72.0,6.85,96.0,0,46.9,99.0,99.0,0.1,3623.47667,14.0,3.2
71.8,6.95,97.0,2,46.1,99.0,99.0,0.1,359.587582,14.8,3.3
71.4,7.0,92.0,1,45.3,99.0,99.0,0.1,2819.649531,14.6,3.3
71.0,7.13,91.0,1,44.5,99.0,98.0,0.1,3146.95177,14.3,3.4
75.0,7.26,94.0,36,43.7,99.0,98.0,0.1,3739.11936,14.1,3.4
77.6,0.01,99.0,1,4.2,99.0,99.0,0.1,4159.8652,15.0,5.7
77.1,0.01,98.0,0,39.2,99.0,99.0,0.1,44597.27968,14.9,5.8
78.3,0.01,99.0,1,38.2,99.0,99.0,0.1,47651.2599,14.4,5.8
77.4,0.97,93.0,4,37.2,99.0,97.0,0.1,4717.273,14.1,5.9
76.9,0.88,96.0,0,36.2,99.0,95.0,0.1,35268.1117,14.2,5.9
76.8,0.25,96.0,2,35.2,99.0,99.0,0.1,27965.4754,14.1,6.0
77.2,0.67,96.0,3,34.2,97.0,98.0,0.1,37951.286,14.2,6.1
76.0,0.85,97.0,0,33.2,95.0,99.0,0.1,32672.36717,14.3,6.2
76.3,0.67,99.0,0,32.2,94.0,97.0,0.1,398.96692,14.3,6.3
76.2,0.16,99.0,9,31.2,93.0,94.0,0.1,2612.13345,14.1,6.4
76.4,0.11,99.0,16,3.1,92.0,92.0,0.1,21896.6527,13.7,6.5
76.0,0.12,99.0,24,29.1,99.0,92.0,0.1,18555.56649,13.4,6.6
74.8,0.13,99.0,0,28.0,99.0,94.0,0.1,16846.2198,13.3,6.7
74.7,0.47,99.0,11,27.0,99.0,97.0,0.1,16468.12886,13.4,6.8
74.4,0.37,99.0,42,26.1,99.0,99.0,0.1,188.44826,13.4,6.8
74.3,12.03,95.0,0,65.1,88.0,88.0,0.1,7853.335191,14.8,1.9
74.1,12.06,95.0,14,64.5,95.0,95.0,0.1,7674.86559,14.4,1.9
73.9,10.99,95.0,1,63.9,95.0,95.0,0.1,7378.25539,14.3,1.9
73.7,10.67,96.0,157,63.3,95.0,95.0,0.1,7813.83499,14.2,2.0
73.4,10.8,95.0,22004,62.7,94.0,94.0,0.1,6843.263289,13.9,2.0
73.2,10.93,96.0,2249,62.1,94.0,94.0,0.1,6955.987733,13.8,2.0
72.9,10.98,96.0,1,61.5,96.0,95.0,0.1,7296.122479,13.8,2.1
72.6,10.89,95.0,1,6.9,95.0,95.0,0.1,5932.899677,13.5,2.1
72.2,10.39,96.0,1,6.3,96.0,95.0,0.1,4513.13628,13.5,2.2
72.1,10.48,96.0,3,59.7,97.0,96.0,0.1,3893.68998,13.5,2.2
72.2,10.96,94.0,0,59.1,94.0,95.0,0.1,3381.57837,13.3,2.3
